📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-10,http://z.b.bkpcp.top/m.php?id=CCTV-10科教科教
CCTV-11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8
CCTV-16,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV-17,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765

📡卫视频道,#genre#
广东卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000520
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
浙江卫视,http://zwebl02.cztv.com/live/channel011080P.m3u8?auth_key=2524708799-0-0-9a1229d8b9d311024ebea08c3fb1d63f
湖南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010058
北京卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010143
湖北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010057
黑龙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010056
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
重庆卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010053
东方卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010054
东南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010096
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549
贵州卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226474
海南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010083
河北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010101
河南卫视,http://tvpull.dxhmt.cn:9081/tv/11425-1.m3u8
吉林卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010075
江苏卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010059
江西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010060
辽宁卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226546
内蒙古卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225634
宁夏卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010110
青海卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010111
山东卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010066
山西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010114
陕西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010113
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338
深圳卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010068
三沙卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887452.m3u8
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459
西藏卫视,http://z.b.bkpcp.top/m.php?id=xzws
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444

☘️台湾频道,#genre#
华视,https://k44991.kylintv.tv/live/ctshd_iphone.m3u8
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-3.m3u8
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-1.m3u8
东森电影,http://mytv.cdn.com.mp/live/dsdy/stream.m3u8
